Feature,Mean_Abs_SHAP,Importance_%
MATHEFF,23.931833,15.666869
HOMEPOS,21.127193,13.830824
ICTFEED,8.199355,5.3676715
ICTWKDY,7.6210556,4.9890904
ANXMAT,7.3050714,4.7822328
FAMSUPSL,5.267689,3.4484696
FAMCON,5.226264,3.4213505
ICTRES,4.230728,2.7696273
FAMSUP,3.8990612,2.552503
ICTINFO,3.348429,2.1920342
ICTWKEND,3.3077474,2.1654022
DISCLIM,3.2819452,2.148511
ICTSUBJ,3.1511443,2.0628827
ICTOUT,2.989389,1.9569904
RELATST,2.7414935,1.7947067
ICTEFFIC,2.6873996,1.7592943
COGACRCO,2.6268995,1.719688
COGACMCO,2.533959,1.658845
CREATSCH,2.4577615,1.6089628
SCHSUST,2.386984,1.5626285
COOPAGR,2.332014,1.5266427
CREATEFF,2.2307775,1.4603686
MATHPERS,2.0732038,1.3572137
EMOCOAGR,2.0412974,1.3363264
ICTENQ,1.8668114,1.2220998
ICTQUAL,1.8403815,1.2047976
CREATAS,1.6877253,1.104862
CREATFAM,1.5512688,1.0155313
STRESAGR,1.5409051,1.0087467
EXPO21ST,1.5372716,1.006368
CREATOOS,1.5000945,0.9820303
OPENART,1.453905,0.9517925
SDLEFF,1.2986152,0.85013276
EMPATAGR,1.2876723,0.84296894
CREATOP,1.0814236,0.7079492
BELONG,1.0086776,0.66032636
PERSEVAGR,0.9281929,0.6076374
GROSAGR,0.9084679,0.5947245
MATHEF21,0.8783331,0.5749969
ASSERAGR,0.8629272,0.5649115
ICTREG,0.85513425,0.55980986
TEACHSUP,0.7771634,0.5087666
BULLIED,0.7461927,0.48849177
CURIOAGR,0.64053804,0.41932538
PROBSELF,0.50835544,0.33279264
ICTSCH,0.5074315,0.3321878
EXPOFA,0.38157925,0.24979918
ICTHOME,0.106652945,0.06981988
